RBD,NOM_RBD,NOM_COM_RBD,RURAL_RBD,DC_A,HH_A,DC_UTP,HH_UTP,DC_PDIR,HH_PDIR,DC_DIR,HH_DIR,DC_OES,HH_OES,DC_OF,HH_OF,DC_JUTP,HH_JUTP,DC_IG,HH_IG,DC_OR,HH_OR,DC_DIR_SOST,HH_DIR_SOST,DC_TP_SOST,HH_TP_SOST,DC_SUP_SOST,HH_SUP_SOST,DC_SUBDIR,HH_SUBDIR,DC_PROF_ENC,HH_PROF_ENC,DC_EDUC_TRAD,HH_EDUC_TRAD,DC_TOT,HH_TOT
26280,ESCUELA DE PARV. SEVILLA,MAIPÚ,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30
26281,ESCUELA ESPECIAL EL TREBOL,PADRE HURTADO,0,4,176,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,220
26286,COLEGIO DE ADULTOS ANTU-ANAY,PEÑALOLÉN,0,6,144,0,0,0,0,1,30,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,198
26289,ESCUELA ESP. DESPERTARES DE PEDRO AGUIRRE CER,PEDRO AGUIRRE CERDA,0,4,149,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,193
26292,LICEO POLIVALENTE MUNICIPAL DE LA FLORIDA,LA FLORIDA,0,44,1526,0,0,0,0,1,44,3,96,0,0,1,44,3,132,1,44,0,0,0,0,0,0,0,0,0,0,0,0,53,1886
26293,ESCUELA BAS. INTEGRAL ENLACES DE LAMPA,LAMPA,0,5,211,9,343,0,0,1,44,1,39,0,0,0,0,0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,17,676
26297,COLEGIO MONTAHUE,HUECHURABA,0,14,468,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,512
26298,ESCUELA LA ARAUCARIA DE MAIPU,MAIPÚ,0,6,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,7,270
26299,ESCUELA ESP. EPUMALEN,RECOLETA,0,4,176,0,0,0,0,1,44,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,245
26303,COLEGIO ENRIQUE ALVEAR DE CERRO NAVIA,CERRO NAVIA,0,23,887,0,0,1,44,1,40,3,128,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1143
